ts,gpu_busy_pct,foreign_chromium_n,foreign_chromium_cpu_pct,my_chromium_n,my_chromium_cpu_pct,load1
10:42:42,0,8,36.8,0,0.0,7.41
10:42:43,0,8,38.8,0,0.0,7.70
10:42:44,0,3,-434.5,0,0.0,7.70
10:42:45,99,8,36.8,0,0.0,7.70
10:42:46,0,8,39.2,0,0.0,7.70
10:42:47,0,8,48.6,0,0.0,7.70
10:42:48,99,8,4.0,0,0.0,7.56
10:42:49,99,8,3.0,0,0.0,7.56
10:42:50,18,8,20.7,0,0.0,7.56
10:42:51,99,8,15.9,0,0.0,7.56
10:42:52,26,8,34.7,0,0.0,7.56
10:42:53,29,8,50.6,0,0.0,7.68
10:42:54,99,8,63.6,0,0.0,7.68
10:42:55,0,8,36.7,0,0.0,7.68
10:42:56,0,8,27.8,0,0.0,7.68
10:42:57,0,8,-325.4,0,0.0,7.68
10:42:58,0,8,43.7,0,0.0,7.70
10:42:59,0,8,24.8,0,0.0,7.70
10:43:00,0,8,38.8,0,0.0,7.70
10:43:01,0,8,29.8,0,0.0,7.70
10:43:02,100,8,2.0,0,0.0,7.70
10:43:03,0,8,31.8,0,0.0,7.41
10:43:04,0,8,16.9,0,0.0,7.41
10:43:05,100,8,11.9,0,0.0,7.41
10:43:06,0,8,41.8,0,0.0,7.41
10:43:07,0,8,23.8,0,0.0,7.41
10:43:08,0,8,17.9,0,0.0,7.14
10:43:09,0,8,-279.8,0,0.0,7.14
10:43:10,0,8,39.8,0,0.0,7.14
10:43:11,13,8,33.7,0,0.0,7.14
10:43:12,0,8,12.9,0,0.0,7.14
10:43:13,0,8,20.9,0,0.0,7.28
10:43:14,0,8,32.2,0,0.0,7.28
10:43:15,0,8,30.4,0,0.0,7.28
10:43:16,0,8,33.8,0,0.0,7.28
10:43:17,0,8,17.9,0,0.0,7.28
10:43:18,0,8,11.9,0,0.0,7.18
10:43:19,0,8,16.9,0,0.0,7.18
10:43:20,0,8,14.9,0,0.0,7.18
10:43:21,0,8,28.8,0,0.0,7.18
10:43:22,0,2,-350.4,0,0.0,7.18
10:43:23,0,2,0.0,0,0.0,7.01
10:43:24,99,8,69.2,0,0.0,7.01
10:43:25,0,13,54.6,2,8.9,7.01
10:43:26,0,13,39.8,2,0.0,7.01
10:43:27,0,13,40.6,2,1.0,7.01
10:43:28,0,13,213.7,2,0.0,8.13
10:43:29,0,13,368.5,2,0.0,8.13
10:43:30,0,13,350.1,2,0.0,8.13
10:43:31,0,13,374.4,2,0.0,8.13
10:43:32,0,8,-1193.4,1,-4.0,8.13
10:43:33,99,8,12.9,0,-6.0,8.04
10:43:34,0,8,22.6,0,0.0,8.04
10:43:35,0,8,31.7,0,0.0,8.04
10:43:36,18,8,19.8,0,0.0,8.04
10:43:37,11,11,-394.2,0,0.0,8.04
10:43:38,0,11,77.4,0,0.0,7.95
10:43:39,100,11,37.7,0,0.0,7.95
10:43:40,0,11,5.0,0,0.0,7.95
10:43:41,0,11,4.0,0,0.0,7.95
10:43:42,0,8,-8.9,0,0.0,7.95
10:43:43,94,8,22.8,0,0.0,7.80
10:43:44,0,8,27.8,0,0.0,7.80
10:43:45,0,8,25.8,0,0.0,7.80
10:43:46,0,8,18.9,0,0.0,7.80
10:43:47,0,8,0.0,0,0.0,7.80
10:43:48,0,8,-179.0,0,0.0,7.49
10:43:49,0,8,53.4,0,0.0,7.49
10:43:50,0,14,81.4,0,0.0,7.49
10:43:51,0,14,125.3,0,0.0,7.49
10:43:52,0,14,49.7,0,0.0,7.53
10:43:53,100,14,-89.5,0,0.0,7.53
10:43:54,0,14,96.3,0,0.0,7.53
10:43:55,95,14,55.6,0,0.0,7.53
10:43:56,25,8,-181.9,0,0.0,7.53
10:43:57,24,8,38.7,0,0.0,7.41
10:43:58,0,8,19.9,0,0.0,7.41
10:43:59,0,8,12.9,0,0.0,7.41
10:44:00,0,2,-312.3,0,0.0,7.41
10:44:01,0,8,100.4,0,0.0,7.41
10:44:02,0,8,12.9,0,0.0,7.46
10:44:03,0,8,-99.4,0,0.0,7.46
10:44:04,0,8,94.3,0,0.0,7.46
10:44:05,14,8,18.9,0,0.0,7.46
10:44:06,0,8,28.8,0,0.0,7.46
10:44:07,79,8,12.9,0,0.0,7.34
10:44:08,0,8,15.9,0,0.0,7.34
10:44:09,0,8,14.9,0,0.0,7.34
10:44:10,0,14,35.8,0,0.0,7.34
10:44:11,0,8,3.0,0,0.0,7.34
10:44:12,0,8,17.9,0,0.0,7.07
10:44:13,0,8,24.9,0,0.0,7.07
10:44:14,0,8,13.9,0,0.0,7.07
10:44:15,0,8,16.9,0,0.0,7.07
10:44:16,0,8,18.9,0,0.0,7.07
10:44:17,0,8,10.0,0,0.0,6.67
10:44:18,0,8,-202.6,0,0.0,6.67
10:44:19,0,8,16.9,0,0.0,6.67
10:44:20,0,8,14.9,0,0.0,6.67
10:44:21,97,8,12.9,0,0.0,6.67
10:44:22,0,8,18.9,0,0.0,6.45
10:44:23,0,8,23.9,0,0.0,6.45
10:44:24,100,8,28.8,0,0.0,6.45
10:44:25,0,8,11.9,0,0.0,6.45
10:44:26,0,8,13.9,0,0.0,6.45
10:44:27,0,8,2.0,0,0.0,6.26
10:44:28,99,8,21.9,0,0.0,6.26
10:44:29,0,8,26.8,0,0.0,6.26
10:44:30,0,8,17.9,0,0.0,6.26
10:44:31,100,8,8.0,0,0.0,6.26
10:44:32,0,8,-343.5,0,0.0,6.08
10:44:34,0,8,20.8,0,0.0,6.08
10:44:35,0,8,74.4,0,0.0,6.08
10:44:36,13,8,4.0,0,0.0,6.08
10:44:37,0,8,12.9,0,0.0,6.08
10:44:38,0,8,10.9,0,0.0,5.83
10:44:39,94,8,25.8,0,0.0,5.83
10:44:40,0,8,13.9,0,0.0,5.83
10:44:41,21,16,14.9,0,0.0,5.83
10:44:42,0,8,-3.0,0,0.0,5.83
10:44:43,0,8,6.0,0,0.0,5.84
10:44:44,99,8,0.0,0,0.0,5.84
10:44:45,0,8,14.9,0,0.0,5.84
10:44:46,0,8,26.8,0,0.0,5.84
10:44:47,27,8,19.9,0,0.0,5.84
10:44:48,0,9,25.8,0,0.0,6.02
10:44:49,0,9,13.9,0,0.0,6.02
10:44:50,0,9,-241.1,0,0.0,6.02
10:44:51,0,9,57.7,0,0.0,6.02
10:44:52,0,9,35.2,0,0.0,6.02
10:44:53,0,9,9.0,0,0.0,6.09
10:44:54,0,9,33.8,0,0.0,6.09
10:44:55,0,9,15.9,0,0.0,6.09
10:44:56,0,9,7.9,0,0.0,6.09
10:44:57,100,9,12.9,0,0.0,6.09
10:44:58,0,8,7.0,0,0.0,5.85
10:44:59,15,8,9.9,0,0.0,5.85
10:45:00,100,8,6.0,0,0.0,5.85
